第二条	連結自己資本規制比率の計算方法	Method of Calculating the Consolidated Capital Adequacy Ratio
第二条の二
第三条	連結の範囲	Scope of Consolidation
第四条
第五条	普通株式等Tier1資本の額	Amount of Common Equity Tier 1 Capital
第六条	その他Tier1資本の額	Amount of Additional Tier 1 Capital
第七条	Tier2資本の額	Amount of Tier 2 Capital
第七条の二	資本バッファーに係る普通株式等Tier1資本の額	Amount of Common Equity Tier 1 Capital Related to Capital Buffers
第八条	調整後非支配株主持分等の額及び調整項目の額の算出方法	Method of Calculating the Amount of Adjusted Minority Interests, etc. and the Amount of Adjustment Items
第九条	比例連結	Proportional Consolidation
第十条	信用リスク・アセットの額の合計額	Total Amount of Credit Risk-Weighted Assets
第十一条	マーケット・リスク相当額の合計額	Total Amount Equivalent to Market Risk
第十一条の二	トレーディング勘定及びバンキング勘定の設置	Establishment of the Trading Book and Banking Book
第十一条の三	トレーディング勘定への分類基準等	Criteria for Classification into the Trading Book, etc.
第十一条の四	バンキング勘定への分類基準	Criteria for Classification into the Banking Book
第十一条の五	商品分類に係る方針等	Policies, etc. Regarding Product Classification
第十一条の六	勘定間の振替の制限	Restrictions on Transfers Between Books
第十一条の七	勘定間の振替に係る所要自己資本の額の計上	Recognition of Required Capital Amount for Transfers Between Books
第十一条の八	勘定間の振替に係る方針等	Policies, etc. Regarding Transfers Between Books
第十一条の九	内部取引の取扱い	Treatment of Internal Transactions
第十一条の十	信用リスク及び株式リスクの内部取引	Internal Transactions in Credit Risk and Equity Risk
第十一条の十一	一般金利リスクの内部取引	Internal Transactions in General Interest Rate Risk
第十一条の十二	マーケット・リスク相当額の計測対象となる内部取引	Internal Transactions Subject to Measurement of the Market Risk Equivalent Amount
第十一条の十三	CVAリスクにおける内部取引等	Internal Transactions, etc. in CVA Risk
第十一条の十四	バンキング勘定とトレーディング勘定の境界に係る届出	Notification Regarding the Boundary Between the Banking Book and Trading Book
第十二条	オペレーショナル・リスク相当額の合計額	Total Amount Equivalent to Operational Risk
第十三条	資本フロアの算出方法	Method of Calculating the Capital Floor
